Codigo_muestra;Codigo_individuo;Especie;Familia;Type;Pairs;Fuente;Localidad;Coord_X;Coord_Y;Fecha_recoleccion;Muestra_general;Organo;Muestreo;Individuo;Num_Org;Leaf_area;Petiole_area;Leaf_area_with_petiole;Leaf_thickness;Leaf_fresh_weight;Petiole_fresh_weight;Leaf_fresh_weight_with_petiole;Leaf_dry_weight;Petiole_dry_weight;Leaf_dry_weight_with_petiole;SLA_without_petiole;SLA_with_petiole;1/SLA_without_petiole;1/SLA_with_petiole;Leaf_dry_weight_per_fresh_weight_without_petiole;Leaf_dry_weight_per_fresh_weight_with_petiole;Diametro_flor;Eje_max_flor;Eje_min_flor;Eje_3_flor;Volumen_flor;Alt_max_rep;Alt_max_veg;Eje_max_planta;Eje_min_planta;Volumen_planta_veg;Volumen_planta_rep;Volumen_inflorescencia
ASPCYN_MOR.6.H2.;ASPCYN_MOR.6.;Asperula cynanchica;Rubiaceae;Generalist;Asperula;Campo;Estada;0.23817738;42.07134625;23/06/2024;Planta;Hoja;Morfologia;6;2;0.069500;;0.069500;0.270000;0.001260;;0.001260;0.000735;;0.000735;94.557823;94.557823;0.010576;0.010576;0.583333;0.583333;;;;;;;;;;;;
ASPCYN_MOR.6.H3.;ASPCYN_MOR.6.;Asperula cynanchica;Rubiaceae;Generalist;Asperula;Campo;Estada;0.23817738;42.07134625;23/06/2024;Planta;Hoja;Morfologia;6;3;0.041500;;0.041500;0.200000;0.000670;;0.000670;0.000400;;0.000400;103.750000;103.750000;0.009639;0.009639;0.597015;0.597015;;;;;;;;;;;;
ASPCYN_MOR.6.H4.;ASPCYN_MOR.6.;Asperula cynanchica;Rubiaceae;Generalist;Asperula;Campo;Estada;0.23817738;42.07134625;23/06/2024;Planta;Hoja;Morfologia;6;4;0.047000;;0.047000;0.210000;0.001055;;0.001055;0.000615;;0.000615;76.422764;76.422764;0.013085;0.013085;0.582938;0.582938;;;;;;;;;;;;
ASPCYN_MOR.6.H5.;ASPCYN_MOR.6.;Asperula cynanchica;Rubiaceae;Generalist;Asperula;Campo;Estada;0.23817738;42.07134625;23/06/2024;Planta;Hoja;Morfologia;6;5;0.047500;;0.047500;0.180000;0.000475;;0.000475;0.000420;;0.000420;113.095238;113.095238;0.008842;0.008842;0.884211;0.884211;;;;;;;;;;;;
ASPCYN_MOR.7.H1.;ASPCYN_MOR.7.;Asperula cynanchica;Rubiaceae;Generalist;Asperula;Campo;Estada;0.23817738;42.07134625;23/06/2024;Planta;Hoja;Morfologia;7;1;0.079500;;0.079500;0.270000;0.001575;;0.001575;0.000790;;0.000790;100.632911;100.632911;0.009937;0.009937;0.501587;0.501587;;;;;;;;;;;;
ASPCYN_MOR.7.H2.;ASPCYN_MOR.7.;Asperula cynanchica;Rubiaceae;Generalist;Asperula;Campo;Estada;0.23817738;42.07134625;23/06/2024;Planta;Hoja;Morfologia;7;2;0.071000;;0.071000;0.210000;0.001170;;0.001170;0.000695;;0.000695;102.158273;102.158273;0.009789;0.009789;0.594017;0.594017;;;;;;;;;;;;
ASPCYN_MOR.7.H3.;ASPCYN_MOR.7.;Asperula cynanchica;Rubiaceae;Generalist;Asperula;Campo;Estada;0.23817738;42.07134625;23/06/2024;Planta;Hoja;Morfologia;7;3;0.058000;;0.058000;0.200000;0.001030;;0.001030;0.000570;;0.000570;101.754386;101.754386;0.009828;0.009828;0.553398;0.553398;;;;;;;;;;;;
ASPCYN_MOR.7.H4.;ASPCYN_MOR.7.;Asperula cynanchica;Rubiaceae;Generalist;Asperula;Campo;Estada;0.23817738;42.07134625;23/06/2024;Planta;Hoja;Morfologia;7;4;0.049500;;0.049500;0.180000;0.000780;;0.000780;0.000540;;0.000540;91.666667;91.666667;0.010909;0.010909;0.692308;0.692308;;;;;;;;;;;;
ASPCYN_MOR.7.H5.;ASPCYN_MOR.7.;Asperula cynanchica;Rubiaceae;Generalist;Asperula;Campo;Estada;0.23817738;42.07134625;23/06/2024;Planta;Hoja;Morfologia;7;5;0.037500;;0.037500;0.170000;0.000615;;0.000615;0.000400;;0.000400;93.750000;93.750000;0.010667;0.010667;0.650407;0.650407;;;;;;;;;;;;
ASPCYN_MOR.8.H1.;ASPCYN_MOR.8.;Asperula cynanchica;Rubiaceae;Generalist;Asperula;Campo;Estada;0.23817738;42.07134625;23/06/2024;Planta;Hoja;Morfologia;8;1;0.074000;;0.074000;0.280000;0.001220;;0.001220;0.000820;;0.000820;90.243902;90.243902;0.011081;0.011081;0.672131;0.672131;;;;;;;;;;;;
ASPCYN_MOR.8.H2.;ASPCYN_MOR.8.;Asperula cynanchica;Rubiaceae;Generalist;Asperula;Campo;Estada;0.23817738;42.07134625;23/06/2024;Planta;Hoja;Morfologia;8;2;0.070500;;0.070500;0.250000;0.001225;;0.001225;0.000815;;0.000815;86.503067;86.503067;0.011560;0.011560;0.665306;0.665306;;;;;;;;;;;;
ASPCYN_MOR.8.H3.;ASPCYN_MOR.8.;Asperula cynanchica;Rubiaceae;Generalist;Asperula;Campo;Estada;0.23817738;42.07134625;23/06/2024;Planta;Hoja;Morfologia;8;3;0.045500;;0.045500;0.250000;0.000535;;0.000535;0.000505;;0.000505;90.099010;90.099010;0.011099;0.011099;0.943925;0.943925;;;;;;;;;;;;
ASPCYN_MOR.8.H4.;ASPCYN_MOR.8.;Asperula cynanchica;Rubiaceae;Generalist;Asperula;Campo;Estada;0.23817738;42.07134625;23/06/2024;Planta;Hoja;Morfologia;8;4;0.047500;;0.047500;0.260000;0.000680;;0.000680;0.000535;;0.000535;88.785047;88.785047;0.011263;0.011263;0.786765;0.786765;;;;;;;;;;;;
ASPCYN_MOR.8.H5.;ASPCYN_MOR.8.;Asperula cynanchica;Rubiaceae;Generalist;Asperula;Campo;Estada;0.23817738;42.07134625;23/06/2024;Planta;Hoja;Morfologia;8;5;0.048000;;0.048000;0.260000;0.000845;;0.000845;0.000600;;0.000600;80.000000;80.000000;0.012500;0.012500;0.710059;0.710059;;;;;;;;;;;;
ASPCYN_MOR.9.H1.;ASPCYN_MOR.9.;Asperula cynanchica;Rubiaceae;Generalist;Asperula;Campo;Estada;0.23817738;42.07134625;23/06/2024;Planta;Hoja;Morfologia;9;1;0.044000;;0.044000;0.240000;0.000560;;0.000560;0.000455;;0.000455;96.703297;96.703297;0.010341;0.010341;0.812500;0.812500;;;;;;;;;;;;
ASPCYN_MOR.9.H2.;ASPCYN_MOR.9.;Asperula cynanchica;Rubiaceae;Generalist;Asperula;Campo;Estada;0.23817738;42.07134625;23/06/2024;Planta;Hoja;Morfologia;9;2;0.043500;;0.043500;0.220000;0.000555;;0.000555;0.000485;;0.000485;89.690722;89.690722;0.011149;0.011149;0.873874;0.873874;;;;;;;;;;;;
ASPCYN_MOR.9.H3.;ASPCYN_MOR.9.;Asperula cynanchica;Rubiaceae;Generalist;Asperula;Campo;Estada;0.23817738;42.07134625;23/06/2024;Planta;Hoja;Morfologia;9;3;0.048500;;0.048500;0.270000;0.000660;;0.000660;0.000610;;0.000610;79.508197;79.508197;0.012577;0.012577;0.924242;0.924242;;;;;;;;;;;;
ASPCYN_MOR.9.H4.;ASPCYN_MOR.9.;Asperula cynanchica;Rubiaceae;Generalist;Asperula;Campo;Estada;0.23817738;42.07134625;23/06/2024;Planta;Hoja;Morfologia;9;4;0.047000;;0.047000;0.210000;0.000630;;0.000630;0.000505;;0.000505;93.069307;93.069307;0.010745;0.010745;0.801587;0.801587;;;;;;;;;;;;
ASPCYN_MOR.9.H5.;ASPCYN_MOR.9.;Asperula cynanchica;Rubiaceae;Generalist;Asperula;Campo;Estada;0.23817738;42.07134625;23/06/2024;Planta;Hoja;Morfologia;9;5;0.042000;;0.042000;0.150000;0.000510;;0.000510;0.000490;;0.000490;85.714286;85.714286;0.011667;0.011667;0.960784;0.960784;;;;;;;;;;;;
